epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,337.432,2.23107,1.58823,1.63267,0.49899,0.08635,0.0724,0.03866,1.6904,1.19176,1.39959,0.0408214,0.000798135,0.000798135
2,526.918,1.45072,0.8502,1.25657,0.36794,0.10437,0.08578,0.05116,1.4935,1.25826,1.33302,0.0316211,0.00159774,0.00159774
3,1062.09,1.27298,0.71502,1.19205,0.40784,0.1235,0.09697,0.06181,1.33365,3.33861,1.25083,0.0224191,0.00239579,0.00239579
4,1523.89,1.16212,0.63628,1.15214,0.44067,0.06026,0.05153,0.03005,1.76845,1.58598,1.49724,0.0132144,0.00319111,0.00319111
5,2011.25,1.12993,0.61423,1.14597,0.58107,0.11997,0.1366,0.0887,1.21471,1.03577,1.21083,0.00400584,0.00398253,0.00398253
6,2553.69,1.08651,0.58285,1.12644,0.49664,0.13088,0.14446,0.08958,1.17242,1.39834,1.18719,0.00397562,0.00397562,0.00397562
7,3081.01,1.035,0.55045,1.11052,0.60313,0.10858,0.12768,0.08101,1.21337,1.07375,1.20951,0.00396493,0.00396493,0.00396493
8,3397.59,0.99284,0.52746,1.09651,0.58819,0.14554,0.1801,0.11924,1.1103,0.99012,1.17855,0.00395232,0.00395232,0.00395232
9,3932.44,0.96068,0.49979,1.08294,0.5211,0.19684,0.20429,0.13563,1.0115,0.77315,1.13984,0.00393779,0.00393779,0.00393779
10,4352.82,0.93181,0.48883,1.0737,0.55655,0.17746,0.21326,0.14652,0.95105,0.80622,1.11261,0.00392138,0.00392138,0.00392138
11,4842.74,0.9095,0.47563,1.06733,0.68789,0.2853,0.3879,0.25474,0.8342,0.45628,1.06293,0.00390309,0.00390309,0.00390309
12,5307.2,0.89065,0.46206,1.06138,0.55807,0.20571,0.24328,0.1614,0.9289,0.74374,1.10396,0.00388294,0.00388294,0.00388294
13,5666.47,0.87274,0.45331,1.05561,0.60014,0.20895,0.2355,0.159,0.91928,0.77253,1.09855,0.00386096,0.00386096,0.00386096
14,5922,0.86615,0.4476,1.05163,0.57152,0.19761,0.23868,0.16524,0.92883,0.81665,1.10895,0.00383715,0.00383715,0.00383715
15,6078.22,0.8535,0.43977,1.05124,0.60912,0.20794,0.24729,0.17064,0.89251,0.78166,1.09814,0.00381156,0.00381156,0.00381156
